PR;RED;CARRETERA;TRAMO;LONGITUD;pk i;pk f;"ANCHURA
ASF
(m.)";"ESTAC.
AFORO"
SA;P;SA-324;DE CIUDAD RODRIGO A CASTILLEJO DE MARTÍN VIEJO;15.0;0.0;15.0;6.25;SA-4315
SA;P;SA-324;DE SAN FELICES DE LOS GALLEGOS A LUMBRALES (CL-517);9.815;36.44;46.255;7.95;SA-4445
SA;L;SA-104;DE CESPEDOSA DE TORMES (DSA-160) A LÍMITE DE PROVINCIA CON ÁVILA;15.705;7.6;23.305;6.0;SA-4205
SA;L;SA-316;DE TRABANCA (SA-315) A LÍMITE DE PROVINCIA DE ZAMORA;7.755;0.0;7.755;4.5;SA-4410
SA;L;SA-800;DE CANTALAPIEDRA (CL-605) A LÍMITE DE PROVINCIA DE VALLADOLID;6.53;0.0;6.53;6.0;SA-4485
SA;L;SA-804;DE SALAMANCA A  ROTONDA ACCESO A CABRERIZOS;1.075;0.0;1.075;8.0;SA-4515
SA;L;SA-804;DE ROTONDA ACCESO A CABRERIZOS A DSA-650 (CARRETERA DE BABILAFUENTE);6.675;1.075;7.75;8.0;SA-4355
SG;B;A-601;DE LÍMITE DE PROVINCIA DE VALLADOLID A CUELLAR  (CL-602);5.905;44.225;50.13;10.5;SG-0450
SG;B;A-601;DE CUELLLAR (SG-205) A GOMEZSERRACÍN (SG-333);11.37;50.13;61.5;10.5;SG-0455
SG;B;CL-601;DE SG-20 (sur) A ROTONDA DEL PONTÓN ALTO;4.15;0.0;4.15;9.4;SG-3430
SG;B;CL-603;DE CANTALEJO (SG-205) A SG-231;5.34;51.9;57.24;8.7;SG-1110
SG;B;CL-603;DE SG-231 A TURÉGANO (SG-222);10.76;57.24;68.0;8.9;SG-3105
SG;B;CL-605;DE SANTA MARÍA LA REAL DE NIEVA (SG-342) A MONTUENGA;20.11;27.4;47.51;9.1;SG-3330
SG;P;SG-145;DE AYLLÓN (N-110) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;21.3;0.0;21.3;6.5;SG-4080
SG;P;SG-205;DE SG-232 A SG-231;2.33;18.8;21.13;9.2;SG-4055
SG;P;SG-205;DE SG-231 A CANTALEJO (CL-603);8.57;21.13;29.7;9.0;SG-4345
SG;P;SG-222;DE AGUILAFUENTE A NAVALMANZANO (A-601);12.3;12.4;24.7;7.4;SG-4175
SG;P;SG-232;DE SEPÚLVEDA (SG-241) A P.K. 12,670;2.17;10.5;12.67;9.1;SG-4395
SG;P;SG-234;DE CASTILLEJO DE MESLEÓN A SG-232;6.2;0.0;6.2;7.1;SG-4355
SG;P;SG-342;DE CUÉLLAR (CL-601) A SG-333;10.0;1.1;11.1;8.1;SG-4260
SG;P;SG-342;DE SG-333 A NAVAS DE ORO (SG-332);15.0;11.1;26.1;8.1;SG-4265
SG;P;SG-342;DE NAVAS DE ORO (SG-332) A NAVA DE LA ASUNCIÓN (SG-343);6.35;26.1;32.45;8.0;SG-4270
SG;P;SG-342;DE NAVA DE LA ASUNCIÓN (SG-343) A SANTA MARÍA LA REAL DE NIEVA (CL-605);11.69;32.45;44.14;7.3;SG-4255
SG;P;SG-343;DE NAVA DE LA ASUNCIÓN (SG-342) A SANTIUSTE DE SAN JUAN BAUTISTA (SG-351);7.48;0.0;7.48;8.0;SG-4275
SG;L;SG-115;DE CEREZO DE ARRIBA A LA PINILLA;8.3;0.0;8.3;6.7;SG-4385
SG;L;SG-241;DE SEPÚLVEDA (SG-232) A CL-603;23.6;0.0;23.6;5.6;SG-4215
SG;L;SG-241;DE LAGUNA DE CONTRERAS (SG-P-2131) A LÍMITE DE PROVINCIA DE VALLADOLID;0.85;38.93;39.78;7.0;VA-4295
SG;L;SG-313;DE CL-605 A ABADES;7.76;0.0;7.76;7.8;SG-4235
SG;L;SG-313;DE ABADES A N-110;7.24;7.76;15.0;8.0;SG-4235
SG;L;SG-322;DE N-110 A MUÑOPEDRO;20.4;0.0;20.4;5.0;SG-4245
SG;L;SG-500;DE P.K. 4+700 (POL. IND. EL ESPINAR) A LÍMITE DE PROVINCIA DE ÁVILA;14.9;5.0;19.6;5.5;SG-4305
SG;L;SG-612;DE NAVAFRÍA A LÍMITE DE C.A. DE MADRID;9.53;2.0;11.53;5.3;SG-4490
SG;L;SG-722;DE N-110 A SG-723;9.25;0.0;9.25;5.7;SG-4365
SG;L;SG-724;DE SEGOVIA (ANTIGUA ESTACIÓN DE FERROCARRIL) A CARRETERA PALACIO DE RIOFRÍO;3.22;1.1;4.32;6.8;SG-4400
SO;B;CL-101;DE CARRETERA DE BANIEL-PERDICES A ALMAZÁN (A-15);2.28;69.72;72.0;11.0;SO-1020
SO;B;CL-101;DE BARAHONA (SO-132) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;6.04;99.46;105.5;8.0;SO-3005
SO;B;CL-117;DE MOLINOS DE DUERO (SO-820) A ABEJAR(N-234);10.65;51.36;62.01;8.2;SO-1240
SO;P;SO-100;DE SORIA (SO-20) A QUINTANA REDONDA (SO-115);16.6;0.44;17.04;7.0;SO-1100
SO;P;SO-160;DE RETORTILLO DE SORIA A LÍMITE DE C.A. DE CASTILLA LA MANCHA;3.09;37.56;40.65;7.0;SO-4155
SO;P;SO-340;DE GOMARA (CL-101) A SERÓN DE NÁGIMA;14.479;7.463;21.942;7.2;SO-4170
SO;P;SO-615;DE SO-650 A SO-630;16.52;20.86;37.38;7.0;SO-4050
SO;P;SO-615;DE SO-630 A LÍMITE DE C.A. DE LA RIOJA;11.0;37.38;48.38;7.0;SO-4060
SO;P;SO-650;DE PUERTO DE ONCALA (SO-615) A SAN PEDRO MANRIQUE (SO-630);12.7;0.0;12.7;7.0;SO-4285
SO;P;SO-800;DE TOLEDILLO (N-234) A EL ROYO (SO-820);14.62;0.0;14.62;8.0;SO-4290
SO;P;SO-820;DE N-111 A SO-810;28.58;0.0;28.58;8.0;SO-1215
SO;P;SO-920;DE VALDEMALUQUE A CAÑON DEL RÍO LOBOS;7.21;10.01;17.22;7.0;SO-1265
SO;L;SO-110;DE ALMAZÁN (N-111) A MATAMALA DE ALMAZÁN (SO-115);9.278;0.0;9.278;6.9;SO-4340
SO;L;SO-110;DE FUENTEPINILLA (SO-100) A A-11 (VENTA NUEVA);18.03;22.25;40.28;5.2;SO-4130
SO;L;SO-115;DE QUINTANA REDONDA (SO-100) A MATAMALA DE ALMAZÁN (SO-110);15.78;0.0;15.78;7.25;SO-4295
SO;L;SO-152;DE BERLANGA DE DUERO A LA RIBA DE ESCALOTE (SO-132);19.487;2.633;22.12;6.8;SO-4140
SO;L;SO-152;DE BARCONES (SO-154) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;5.57;29.74;35.31;6.0;SO-4160
SO;L;SO-630;DE MAGAÑA A CASTILRUIZ;11.0;30.54;41.54;5.5;SO-4195
SO;L;SO-630;DE CASTILRUIZ A MATALEBRERAS (N-122);4.44;41.54;45.98;8.0;SO-4205
SO;L;SO-810;DE CIDONES (N-234) A SO-820;12.03;0.0;12.03;7.0;SO-4350
SO;L;SO-910;DE N-122 (VENTA NUEVA) A ABEJAR (N-234);12.36;0.0;12.36;7.0;SO-4260
SO;L;SO-934;DE SAN LEONARDO DE YAGÜE (SO-920) A GUIJOSA;17.78;0.0;17.78;7.0;SO-4355
SO;L;SO-934;DE GUIJOSA A LÍMITE DE PROVINCIA DE BURGOS;12.65;17.78;30.43;7.0;SO-4275
VA;B;CL-600;DE PUENTEDUERO (CL-610) A VIANA DE CEGA;3.8;6.2;10.0;10.8;VA-3315
VA;B;CL-600;DE VIANA DE CEGA A BOECILLO (N-601);4.7;10.0;14.7;9.7;VA-3315
VA;B;CL-600;DE BOECILLO (N-601) A CL-601;3.3;14.7;18.0;10.05;VA-3305
VA;B;CL-600;DE CL-601 A VA-200;6.25;18.0;24.25;10.0;VA-3255
VA;B;CL-610;DE FUENTE EL SOL (VA-801) A LIMITE DE PROVINCIA DE ÁVILA;4.8;60.1;64.9;9.0;AV-3480
VA;P;VA-103;DE A-62 A VALORIA LA BUENA (VA-102);5.0;0.0;5.0;7.0;VA-4440
VA;P;VA-113;DE VA-20 A SANTOVENIA;2.465;2.685;5.15;;
VA;P;VA-130;DE N-122 A LÍMITE DE PROVINCIA DE BURGOS;1.12;0.0;1.12;6.5;VA-4235
VA;P;VA-140;DE VA-30 A VP-3001 (RENEDO DE ESGUEVA);2.68;4.05;6.73;8.0;
VA;P;VA-223;DE PEÑAFIEL A CAMPASPERO;15.31;0.0;15.31;8.1;VA-1285
VA;P;VA-301;DE VA-601 (PORTILLO) A N-601 (MOJADOS);8.5;0.0;8.5;7.0;VA-4485
VA;P;VA-404;DE MATAPOZUELOS A MOJADOS (N-601);10.6;16.1;26.7;7.0;VA-4325
VA;P;VA-405;DE TORDESILLAS A SERRADA;12.86;0.0;12.86;6.0;VA-4475
VA;P;VA-410;DE OLMEDO (CL-112) A ATAQUINES (A-6);16.535;0.0;16.535;8.1;VA-4335
VA;P;VA-514;DE ZARATÁN (N-601) A WAMBA;12.0;0.0;12.0;8.2;VA-4350
VA;P;VA-515;DE CASTROMONTE (VA-510) A MEDINA DE RIOSECO (N-601);12.5;31.6;44.1;8.0;VA-4120
VA;P;VA-801;DE ATAQUINES (A-6) A FUENTE EL SOL (CL-610);10.415;0.0;10.415;8.1;VA-4540
VA;P;VA-801;DE CASTREJÓN (VA-800) A ALAEJOS (N-620);9.075;32.525;41.6;8.1;VA-4550
VA;L;VA-101;DE PESQUERA DE DUERO A VILLAFUERTE;20.16;;;8.0;VA-4185
VA;L;VA-104;DE QUINTANILLA DE ONÉSIMO (N-122) A VILLAFUERTE;16.2;0.0;16.2;7.0;VA-4210
VA;L;VA-134;DE VALDEARCOS DE LA VEGA A LÍMITE DE PROVINCIA DE BURGOS;2.9;0.0;2.9;5.5;BU-4860
VA;L;VA-302;DE MOJADOS A LA PEDRAJA DE PORTILLO;4.52;0.0;4.52;5.8;VA-4490
VA;L;VA-302;DE LA PEDRAJA DE PORTILLO A ALDEAMAYOR DE SAN MARTÍN;4.78;4.52;9.3;5.8;
VA;L;VA-333;DE ÍSCAR (CL-602) A LÍMITE DE PROVINCIA DE SEGOVIA;0.9;0.0;0.9;6.5;SG-4440
VA;L;VA-511;DE CASTROMONTE (VA-515) A VILLABRÁGIMA (VA-505);8.0;0.0;8.0;5.8;VA-4570
VA;L;VA-541;DE BECILLA DE VALDERADUEY (N-601) A LÍMITE DE PROVINCIA DE LEÓN;13.72;0.0;13.72;5.5;VA-4465
VA;L;VA-542;DE MAYORGA (N-601) A LÍMITE DE PROVINCIA DE LEÓN;10.6;0.0;10.6;6.4;VA-4530
VA;L;VA-601;DE A-601 (SANTIAGO DEL ARROYO) A A-601 (VILORIA);14.37;8.28;22.65;7.0;VA-4680
VA;L;VA-800;DE CASTREJÓN A LÍMITE DE PROVINCIA DE SALAMANCA;11.635;12.36;23.995;6.0;SA-4485
VA;L;VA-900;DE FUENSALDAÑA A MUCIENTES;4.01;5.5;9.51;9.0;VA-4510
VA;L;VA-900;DE MUCIENTES A TRIGUEROS DEL VALLE;16.39;9.51;25.9;6.0;VA-4390
VA;L;VA-912;DE VP-4005 A MONTEALEGRE (VA-943);1.82;20.5;22.32;7.2;
VA;L;VA-912;DE MONTEALEGRE (VA-943) A LÍMITE DE PROVINCIA DE PALENCIA;2.48;22.32;24.8;7.2;
VA;L;VA-941;DE MAYORGA (N-601) A SAELICES DE MAYORGA;7.39;0.0;7.39;6.5;VA-4430
VA;L;VA-943;DE MONTEALEGRE (VA-912) A LÍMITE DE PROVINCIA DE PALENCIA;5.2;0.0;5.2;6.0;PA-4795
ZA;B;CL-527;DE ZA-330 A PERERUELA;11.665;3.665;15.33;9.0;ZA-3050
ZA;B;CL-527;DE BERMILLO DE SAYAGO A ZA-315;18.64;36.1;54.74;8.0;ZA-3060
ZA;B;CL-527;DE ZA-315 A FERMOSELLE (ZA-316);9.17;54.74;63.91;8.0;ZA-3065
ZA;B;CL-605;DE CAÑIZAL (N-620a) A FUENTESAÚCO;13.1;117.5;130.6;8.0;ZA-3090
ZA;B;CL-612;DE ZA-702 A CASTRONUEVO (ZA-714);0.5;91.641;92.141;9.0;ZA-3125
ZA;P;ZA-100;DE SANTOVENIA (N-630) A CARRETERA A MÓZAR ZA-P-1512;12.2;0.0;12.2;7.0;ZA-4485
ZA;P;ZA-105;DE CAMARZANA DE TERA (N-525) A N-631;10.37;0.0;10.37;7.0;ZA-4490
ZA;P;ZA-125;DE  LÍMITE DE PROVINCIA DE LEÓN A PALACIOS DE SANABRIA (N-525);33.61;0.0;33.61;7.0;ZA-4150
ZA;P;ZA-302;DE EL CUBO DE LA TIERRA DEL VINO (N-630a) A PEÑAUSENDE (ZA-305);14.6;0.0;14.6;7.0;ZA-4205
ZA;P;ZA-302;DE FRESNO DE SAYAGO (ZA-320) A BERMILLO DE SAYAGO (CL-527);12.66;24.5;37.16;6.0;ZA-4220
ZA;P;ZA-305;DE SAN MARCIAL A PEÑAUSENDE (ZA-302);14.97;9.11;24.08;7.0;ZA-4470
ZA;P;ZA-311;DE ALMEIDA (ZA-320) A LÍMITE DE PROVINCIA DE SALAMANCA;5.37;24.86;30.23;7.0;SA-4475
ZA;P;ZA-315;DE CL-527 A LÍMITE DE PROVINCIA DE SALAMANCA;6.471;0.0;6.471;7.0;ZA-4435
ZA;P;ZA-324;DE VILLALCAMPO A MORALINA (ZA-311);11.432;5.768;17.2;7.0;ZA-4270
ZA;P;ZA-324;DE MORALINA (ZA-311) A LA FRONTERA CON PORTUGAL;11.88;17.2;29.08;9.0;ZA-4275
ZA;P;ZA-512;DE VILLALPANDO (CL-612) A VILLANUEVA DEL CAMPO (N-610);13.61;0.0;13.61;8.0;ZA-4285
ZA;P;ZA-602;DE ZA-611 A FUENTESAÚCO (CL-605);17.742;1.908;19.65;7.0;ZA-4350
ZA;P;ZA-605;DE FUENTESAÚCO (cruce variante) A LÍMITE DE PROVINCIA DE SALAMANCA;7.11;30.95;38.06;8.0;SA-1120
ZA;P;ZA-705;DE ENLACE CON A-11 A VILLALONSO (ZA-L-2329);8.721;2.169;10.89;8.0;ZA-4040
ZA;P;ZA-705;DE VILLALONSO (ZA-L-2329) A LÍMITE DE PROVINCIA DE VALLADOLID;0.93;10.89;11.82;8.0;VA-1060
ZA;P;ZA-711;DE N-122 A CL-612;9.84;0.0;9.84;5.0;ZA-4460
ZA;P;ZA-715;DE VILLALPANDO (N-VI) A VILLAFÁFILA;15.02;0.0;15.02;8.0;ZA-4475
ZA;P;ZA-912;DE N-631 A SAN PEDRO DE LAS HERRERÍAS;18.76;0.0;18.76;7.0;ZA-4405
ZA;L;ZA-102;DE L.P. DE ORENSE A PORTO;6.27;21.01;27.28;4.5;ZA-4495
ZA;L;ZA-103;DE ZA-104 A LA LAGUNA DE LOS PECES;16.73;0.0;16.73;5.0;ZA-4505
ZA;L;ZA-123;DE N-630 A TÁBARA (N-631);20.08;0.0;20.08;7.0;ZA-4200
ZA;L;ZA-320;DE PUEBLICA DE CAMPEÁN (ZA-320) A FRESNO DE SAYAGO (ZA-302);16.114;0.0;16.11;5.0;ZA-4240
ZA;L;ZA-320;DE FRESNO DE SAYAGO (ZA-302) A ALMEIDA (ZA-311);10.663;16.11;26.78;6.0;ZA-4245
ZA;L;ZA-320;DE ALMEIDA (ZA-311) A CARBELLINO;8.313;26.78;35.09;6.0;ZA-4245
ZA;L;ZA-524;DE LÍMITE DE PROVINCIA DE LEÓN A CASTROVERDE DE CAMPOS (ZA-504);9.824;0.0;9.824;5.0;ZA-4520
ZA;L;ZA-604;DE LA BÓVEDA DE TORO (ZA-605) A  CAÑIZAL (CL-605);19.19;0.0;19.19;5.3;ZA-4310
ZA;L;ZA-623;DE MORALEJA DEL VINO (ZA-610) A CASASECA DE LAS CHANAS;3.464;0.0;3.464;5.5;ZA-4240
ZA;L;ZA-712;DE ZA-705 A LÍMITE T.M. TORO;4.3;0.0;4.3;5.0;ZA-4240
ZA;L;ZA-714;DE PAJARES DE LA LAMPREANA A CASTRONUEVO (CL-612);12.95;9.98;22.93;5.0;ZA-4480
ZA;L;ZA-902;DE SAN MARTÍN DE TÁBARA A FONFRÍA (N-122);24.97;10.95;35.92;5.0;ZA-4385
AV;B;CL-501;DE LÍMITE DE C.A. DE MADRID A LÍMITE DE C.A. DE MADRID (NAVAHONDILLA);3.43;2.38;5.81;8.65;AV-0065
AV;B;CL-501;DE LÍMITE DE C.A. DE MADRID A LA ADRADA (AV-930);9.54;10.08;19.62;8.65;AV-0065
AV;B;CL-501;DE LÍMITE DE C.A. DE CASTILLA LA MANCHA A  AV-922;7.76;38.09;45.85;8.8;AV-3090
AV;B;CL-501;DE RAMACASTAÑAS (N-502) A CANDELEDA (AV-924);23.24;60.62;83.86;9.0;AV-1290
AV;B;CL-501;DE CANDELEDA (AV-924) A LÍMITE DE C.A. DE EXTREMADURA;7.96;83.86;91.82;9.1;AV-3110
AV;B;CL-505;DE DE ÁVILA  A  AV-503;1.49;1.6;3.09;9.0;AV-3140
AV;B;CL-505;DE LAS NAVAS DEL MARQUÉS A LÍMITE DE C.A. DE MADRID;5.56;36.5;42.06;8.8;AV-0130
AV;B;CL-507;DE AP-6 (SANCHIDRIÁN), A BLASCOSANCHO (N-403);5.747;0.0;5.747;9.0;AV-3005
AV;B;CL-605;DE A-6 A AV-810;3.46;54.0;57.46;9.0;AV-3165
AV;B;CL-605;DE VILLANUEVA DEL ACERAL (AV-800) A MADRIGAL DE LAS ALTAS TORRES (CL-610);14.25;68.28;82.53;9.0;AV-3390
AV;P;AV-102;DE (AV-104) A LÍMITE DE PROVINCIA DE SALAMANCA;9.333;3.217;12.55;8.0;AV-4210
AV;P;AV-110;DE AV-114 (MUÑICO) A  AV-105;23.4;28.06;51.46;8.0;AV-4230
AV;P;AV-502;DE NAVALPERAL DE PINARES (CL-505) A EL HOYO DE PINARES (AV-561);14.0;0.0;14.0;6.5;AV-4255
AV;P;AV-502;DE EL HOYO DE PINARES (AV-561) A CEBREROS (AV-512);5.81;14.0;19.81;7.3;AV-4420
AV;P;AV-512;DE CEBREROS (AV-502) A EL TIEMBLO (N-403);6.65;0.0;6.65;8.2;AV-4275
AV;P;AV-800;DE FONTIVEROS A VILLANUEVA DEL ACERAL (CL-605);15.78;10.36;26.14;8.0;AV-4295
AV;P;AV-804;DE HERNANSANCHO (CL-507) A TIÑOSILLOS;8.9;21.1;30.0;7.4;AV-4300
AV;P;AV-904;DE  N-403 A  CL-501;2.915;0.0;2.915;8.05;AV-4455
AV;P;AV-905;DE VENTA DEL OBISPO (N-502) A  AV-903;21.29;0.0;21.29;7.05;AV-4035
AV;P;AV-941;DE HOYOS DEL ESPINO (AV-931) A AV-932;10.27;16.5;26.77;7.0;AV-4045
AV;P;AV-941;DE AV-932 A EL BARCO DE ÁVILA (N-110);25.33;26.77;52.1;7.4;AV-4045
AV;L;AV-104;DE SANTA MARÍA DEL BERROCAL A LÍMITE DE PROVINCIA DE SALAMANCA;4.481;4.985;9.466;6.5;SA-4205
AV;L;AV-120;DE SAN JUAN DEL OLMO  A MUÑICO (AV-110);7.69;12.0;19.69;5.7;AV-4240
AV;L;AV-500;DE ÁVILA (N-501) A BERNUY-SALINERO;7.235;0.0;7.235;7.15;AV-4485
AV;L;AV-501;DE NAVALPERAL DE PINARES (CL-505) A LÍMITE DE PROVINCIA DE SEGOVIA;7.0;0.0;7.0;5.6;AV-4250
AV;L;AV-501;DE AV-500 A ALDEAVIEJA (SANTA MARÍA DEL CUBILLO, N-110);9.72;16.28;26.0;5.05;AV-4460
AV;L;AV-503;DE CARRETERA DE DIPUTACIÓN A CEBREROS (AV-502);13.17;26.43;39.6;5.5;AV-4260
AV;L;AV-810;DE ARÉVALO (POLÍGONO INDUSTRIAL, CL-605) A A-6;1.403;0.0;1.403;8.8;AV-4470
AV;L;AV-913;DE BURGOHONDO (AV-901) A SERRANILLOS;16.44;0.0;16.44;5.8;AV-4350
AV;L;AV-913;DE SERRANILLOS A AV-922;15.7;16.44;32.14;5.2;AV-4540
AV;L;AV-915;DE  AV-911 A LÍMITE DE C.A. DE CASTILLA LA MANCHA;12.14;2.0;14.14;5.7;AV-4445
AV;L;AV-926;DE CL-501 A POYALES DEL HOYO;2.06;0.0;2.06;7.2;AV-4500
AV;L;AV-932;DE PIEDRAHÍTA (N-110) A LA HERGUIJUELA;21.38;0.0;21.38;5.5;AV-4410
AV;L;AV-933;DE MUÑANA (N-110) A  N-502;7.623;0.0;7.623;4.75;AV-4435
BU;B;CL-117;DE SALAS DE LOS INFANTES (N-234) A QUINTANAR DE LA SIERRA (BU-822);24.3;0.0;24.3;8.0;BU-1060
BU;B;CL-117;DE QUINTANAR DE LA SIERRA (BU-822) A LÍMITE DE PROVINCIA DE SORIA;8.51;24.3;32.81;8.0;BU-3715
BU;B;CL-603;DE ARANDA DE DUERO (N-I)  A CAMPILLO DE ARANDA (BU-200);4.74;0.0;4.74;8.1;BU-3105
BU;B;CL-619;DE LA HORRA (BU-130) A ARANDA DE DUERO (A-1);14.4;58.1;72.5;9.1;BU-1110
BU;B;CL-619;DE A-1 A ARANDA DE DUERO (N-I);3.8;72.5;76.3;9.1;BU-3955
BU;B;CL-628;DE MEDINA DE POMAR (N-629)  A VILLARCAYO (CL-629);7.7;0.0;7.7;10.0;BU-1445
BU;B;CL-629;DE CL-633 A PUERTO DE LA MAZORRA (BU-V-5143);17.0;25.5;42.5;9.0;BU-1155
BU;B;CL-629;DE VILLARCAYO (CL-628) A N-629;14.87;63.33;78.2;9.0;BU-1170
BU;B;CL-629;DE N-629 A BU-554;17.49;82.46;99.95;10.0;BU-3180
BU;P;BU-101;DE VILLAHOZ (N-622) A SANTA MARÍA DEL CAMPO (ctra. Diputación);8.225;0.0;8.225;8.0;BU-4225
BU;P;BU-101;DE SANTA MARÍA DEL CAMPO ( ctra. Diputc.) A  N-620 (VILLAQUIRÁN);10.575;8.225;18.8;8.0;BU-4235
BU;P;BU-130;DE A-1  A  BU-113;8.42;0.0;8.42;8.3;BU-4240
BU;P;BU-130;DE  BU-131 A LÍMITE DE PROVINCIA DE VALLADOLID;2.46;37.74;40.2;8.1;VA-4235
BU;P;BU-400;DE CASTROJERIZ A N-620 (ESTACIÓN DE VILLAQUIRÁN);15.85;15.3;31.15;8.1;BU-4310
BU;P;BU-525;DE N-I A LÍMITE DE C.A. DEL PAÍS VASCO (PUENTELARRÁ);11.66;0.0;11.66;8.2;BU-4005
BU;P;BU-526;DE  BU-542 A ESPINOSA DE LOS MONTEROS;1.9;8.7;10.6;7.2;BU-4385
BU;P;BU-530;DE TRESPADERNE (N-629) A BU-504;10.2;0.0;10.2;6.8;BU-4360
BU;P;BU-530;DE BU-520 A BU-532;3.56;11.14;14.7;7.3;BU-4370
BU;P;BU-530;DE BU-532 A LÍMITE DE C.A. DEL PAÍS VASCO;8.7;14.7;23.4;7.0;BU-4370
BU;P;BU-550;DE TRESPADERNE (N-629) A BU-551;15.7;0.0;15.7;7.0;BU-4395
BU;P;BU-550;DE BU-551 A BU-552;11.1;15.7;26.8;8.0;BU-1410
BU;P;BU-552;DE  BU-550 A VILLAVENTÍN;12.2;15.6;27.8;7.0;BU-4430
BU;P;BU-552;DE VILLAVENTÍN A EL RIBERO (N-629);14.08;27.8;41.88;7.1;BU-4430
BU;P;BU-600;DE A-231 (TARDAJOS) A AVENIDA VILLALONQUEJAR;2.3;0.0;2.3;10.8;BU-4940
BU;P;BU-622;DE ARROYAL A SANTIBÁÑEZ ZARZAGUDA;11.4;4.3;15.7;5.3;BU-4910
BU;P;BU-805;DE BU-11 A BU-30 (PENETRACIÓN DE CORTES);1.5;0.0;1.5;10.0;BU-4820
BU;P;BU-811;DE PRADOLUENGO (BU-813) A LÍMITE DE C.A. DE LA RIOJA;13.15;11.45;24.6;7.1;BU-4840
BU;P;BU-901;DE CUEVAS DE SAN CLEMENTE (N-234) A COVARRUBIAS;11.2;0.0;11.2;7.0;BU-4630
BU;P;BU-910;DE BU-912 A CALERUEGA (BU-920);16.2;8.5;24.7;7.0;BU-1655
BU;P;BU-910;DE HORTEZUELOS A BU-901 (SANTO DOMINGO DE SILOS);5.7;38.0;43.7;7.0;BU-4660
BU;P;BU-910;DE PK 44,000 (FIN VARIANTE) A HACINAS (N-234);11.5;45.0;56.5;5.2;BU-4640
BU;P;BU-925;DE ARANDA DE DUERO (N-I) A ARANDA DE DUERO (BU-950);2.24;0.0;2.24;8.0;
BU;P;BU-925;DE QUEMADA (BU-912) A BU-934 POR PEÑARANDA DE DUERO;10.05;9.3;19.35;8.0;BU-1040
BU;P;BU-945;DE FUENTESPINA (N-I) A FUENTELCÉSPED;6.43;0.0;6.43;8.0;BU-4080
BU;L;BU-113;DE CABAÑES DE ESGUEVA (BU-130) A VILLOVELA DE ESGUEVA (CL-619);16.57;7.4;23.97;5.5;BU-4255
BU;L;BU-123;DE BU-122 A N-122;5.6;0.0;5.6;4.3;BU-4815
BU;L;BU-143;DE N-622 A LÍMITE DE PROVINCIA DE PALENCIA;4.3;0.0;4.3;5.0;PA-4770
BU;L;BU-200;DE FUENTECÉN (N-122) A ADRADA DE HAZA;5.73;0.0;5.73;5.0;BU-4810
BU;L;BU-404;DE VILLASANDINO (N-120) A CASTROJERIZ (BU-400);10.7;0.0;10.7;7.1;BU-4315
BU;L;BU-514;DE N-623 A COVANERA (N-623) POR SEDANO;16.2;0.0;16.2;5.4;BU-4345
BU;L;BU-570;DE SALCEDILLO (BU-572) A LÍMITE DE C.A. DE CANTABRIA;9.27;7.83;17.1;4.5;BU-4875
BU;L;BU-601;DE LA NUEZ DE ARRIBA (N-627) A BU-627 (VILLADIEGO);24.2;0.0;24.2;8.0;BU-4460
BU;L;BU-601;DE BU-627 (VILLADIEGO) A MELGAR DE FERNAMENTAL (N-120);22.52;24.2;46.72;5.6;BU-4505
BU;L;BU-610;DE SOTRESGUDO (BU-627) A LÍMITE DE PROVINCIA DE PALENCIA;11.8;21.7;33.5;5.1;BU-4470
BU;L;BU-643;DE ESCALADA (N-623) A LÍMITE DE C.A. DE CANTABRIA;10.0;0.0;10.0;4.7;BU-4920
BU;L;BU-701;DE QUINTANAPALLA (N-I) A  VILLAMONDAR (BU-703);20.83;0.0;20.83;4.6;BU-4520
BU;L;BU-730;DE N-1 A ORÓN;0.55;0.0;0.55;9.0;BU-4790
BU;L;BU-735;DE MIRANDA DE EBRO A LÍMITE DE C.A. DE LA RIOJA;9.47;0.0;9.47;8.0;BU-4085
BU;L;BU-742;DE TREVIÑO (CL-127) A LÍMITE DE C.A. DEL PAÍS VASCO;8.4;0.0;8.4;7.2;BU-4560
BU;L;BU-744;DE CL-127 (CUCHO) A LÍMITE DE C.A. DEL PAÍS VASCO;3.8;0.0;3.8;7.0;BU-4565
BU;L;BU-814;DE N-120 A BU-811 POR SAN MIGUEL DE PEDROSO;3.7;0.0;3.7;4.0;BU-4840
BU;L;BU-900;DE LERMA (N-I) A NEBREDA;11.51;0.0;11.51;5.8;BU-4975
BU;L;BU-900;DE NEBREDA A BU-901;12.25;11.51;23.76;5.9;BU-4620
BU;L;BU-923;DE CALERUEGA (BU-910) A  PEÑARANDA DE DUERO (BU-925);17.57;0.0;17.57;5.3;BU-4685
BU;L;BU-934;DE BU-925 A BRAZACORTA;10.0;0.0;10.0;5.3;BU-4855
LE;B;A-231;DE SAHAGÚN (LE-232) A LÍMITE DE PROVINCIA DE PALENCIA;5.75;50.0;55.75;10.5;LE-1615
LE;B;CL-613;DE LÍMITE DE PROVINCIA DE PALENCIA A SAHAGÚN (N-120);11.645;48.18;59.825;8.0;LE-3005
