AÑO;T.RED;NOMBRE;DESCRIPCIÓN;LONG.;IMD;ACV;ASV;MUERTOS;HERIDOS;IM;IP;IAT;IL;IG
2019;B;CL-630;DE N-623 A LÍMITE DE C.A. DE CANTABRIA;2.62;776.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;B;CL-635;DE BURÓN (N-625) A LÍMITE DE C.A. DE ASTURIAS;21.71;227.0;1.0;4.0;1.0;0.0;55.5931720577;55.5931720577;277.965860289;100.0;100.0
2019;CL;LE-106;DE CRUCE CON N-VI A BEMBIBRE;13.415;853.0;1.0;5.0;0.0;1.0;0.0;23.9423859523;143.654315714;0.0;0.0
2019;CL;LE-114;DE LA BAÑEZA (LE-125) A SAN ADRIÁN DEL VALLE (N-VI);28.2;958.0;3.0;19.0;0.0;6.0;0.0;30.4238220961;223.108028705;0.0;0.0
2019;CP;LE-231;DE SAHECHORES (CRUCE CON N-625) A ALMANZA;15.4;833.0;0.0;30.0;0.0;0.0;0.0;0.0;640.711719664;0.0;0.0
2019;CL;LE-234;DE PUENTE ALMUHEY (CL-626) A BOCA DE HUÉRGANO (N-621);29.2;620.0;1.0;12.0;0.0;1.0;0.0;15.1332635185;196.732425741;0.0;0.0
2019;CP;LE-311;DE LEÓN A ROBLES DE LA VALCUEVA;25.4;3136.01968504;5.0;15.0;2.0;5.0;6.87898930862;17.1974732716;68.7898930862;28.5714285714;40.0
2019;CL;LE-333;DE PUEBLA DE LILLO (LE-331) A PUERTO DE TARNA;14.4;375.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CP;LE-441;DE SAN ANDRÉS EL RABANEDO A CRUCE CON LE-413 (VILLANUEVA DE CARRIZO);20.22;2383.74183976;6.0;29.0;1.0;6.0;5.6841661623;34.1049969738;198.94581568;14.2857142857;16.6666666667
2019;CL;LE-482;DE SAN EMILIANO A PINOS;2.3;264.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CP;LE-512;DE MANSILLA DE LAS MULAS A LÍMITE DE PROVINCIA DE ZAMORA;58.8;1847.36904762;5.0;33.0;0.0;8.0;0.0;12.6109020062;95.8428552474;0.0;0.0
2019;CP;LE-713;DE FUENTES NUEVAS (N-VI) A VILLAFRANCA DEL BIERZO;15.3;3736.7254902;5.0;22.0;0.0;10.0;0.0;23.9604248538;129.38629421;0.0;0.0
2019;CL;LE-716;DE VEGA DE ESPINAREDA A TORENO;13.9;911.0;1.0;6.0;0.0;1.0;0.0;21.6358498243;151.45094877;0.0;0.0
2019;CL;LE-932;DE ALBIRES (N-601) A LÍMITE DE PROVINCIA DE VALLADOLID;1.5;289.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;LE-941;DE SAHAGÚN A LÍMITE DE PROVINCIA DE VALLADOLID;11.7;438.0;1.0;2.0;0.0;7.0;0.0;53.46224149;160.38672447;0.0;0.0
2019;CP;P-130;DE BALTANÁS (CL-619) A TORQUEMADA;12.612;386.0;0.0;8.0;0.0;0.0;0.0;0.0;450.221111467;0.0;0.0
2019;CL;P-210;DE CERVERA DE PISUERGA (CL-627) A VELILLA DE RÍO CARRIÓN;55.322;120.0;2.0;11.0;0.0;2.0;0.0;82.5387738271;536.502029876;0.0;0.0
2019;CL;P-211;DE CRUCE CON P-210 A RESOBA;4.68;120.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;P-212;DE CRUCE CON P-210 A REBANAL DE LAS LLANTAS;3.95;120.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;P-223;DE PUEBLA DE VALDAVIA A P-222;29.05;195.998003442;1.0;11.0;0.0;1.0;0.0;48.1181976176;577.418371411;0.0;0.0
2019;CP;P-235;DE SALDAÑA, CRUCE CON C-615, A CRUCE CON N-120;19.587;1283.0;1.0;8.0;0.0;2.0;0.0;10.9021601106;98.119440995;0.0;0.0
2019;CL;P-241;DE CARRIÓN DE LOS CONDES A CRUCE CON P-240;15.002;134.0;0.0;1.0;0.0;0.0;0.0;0.0;136.286605935;0.0;0.0
2019;CL;P-245;DE OSORNO (N-611) A VILLASARRACINO;10.685;296.0;0.0;3.0;0.0;0.0;0.0;0.0;259.873594019;0.0;0.0
2019;CL;P-403;DE CRUCE CON P-431 A LÍMITE DE PROVINCIA DE BURGOS;11.638;121.0;0.0;2.0;0.0;0.0;0.0;0.0;389.11091017;0.0;0.0
2019;CP;P-405;DE PALENCIA A LÍMITE DE PROVINCIA DE BURGOS;35.421;1573.73055532;6.0;44.0;0.0;7.0;0.0;29.4894851837;245.745709864;0.0;0.0
2019;CP;P-412;DE TORQUEMADA A CRUCE CON P-405 (ASTUDILLO);19.8;372.0;1.0;11.0;0.0;1.0;0.0;37.1962369311;446.354843173;0.0;0.0
2019;CP;P-900;DE PALENCIA A CRUCE CON N-611;5.615;3937.0;0.0;12.0;0.0;0.0;0.0;0.0;148.721311361;0.0;0.0
2019;CL;P-903;DE CRUCE CON P-901 A DUEÑAS (N-620);13.233;178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;P-904;DE AMPUDIA (P-901) A LÍMITE DE PROVINCIA DE VALLADOLID;7.34;62.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;P-912;DE CRUCE CON P-922 A LÍMITE DE PROVINCIA DE VALLADOLID;7.637;393.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CP;P-922;DE VILLERÍAS DE CAMPOS A VILLARRAMIEL;13.543;329.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;P-924;DE PAREDES DE NAVA (CL-613) A LÍMITE DE PROVINCIA DE VALLADOLID;19.775;111.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;P-931;DE VILLADA A LÍMITE DE PROVINCIA DE VALLADOLID;4.433;253.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;P-934;DE GUAZA DE CAMPOS A BOADILLA DE RIOSECO;8.758;111.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;P-940;DE MAZARIEGOS (N-610) A FUENTES DE NAVA (P-953);8.277;599.0;0.0;10.0;0.0;0.0;0.0;0.0;552.5955178;0.0;0.0
2019;CL;P-941;DE CASTROMOCHO (N-610) A CRUCE CON P-953;5.298;329.0;0.0;1.0;0.0;0.0;0.0;0.0;157.180723551;0.0;0.0
2019;CL;P-952;DE FUENTES DE NAVA (P-942) A PAREDES DE NAVA (P-951);9.947;311.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;P-954;DE A-65 A GRIJOTA (CL-613);4.024;672.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;P-961;DE PAREDES DE NAVA (CL-613) A CRUCE CON CL-615;11.028;289.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;P-963;DE CRUCE CON CL-615 A CERVATOS DE LA CUEZA (N-120);15.703;147.0;0.0;3.0;0.0;0.0;0.0;0.0;356.064293889;0.0;0.0
2019;CL;P-981;DE VILLOLDO (CL-615) A CRUCE CON N-611 (SANTILLANA DE CAMPOS);23.389;104.0;0.0;2.0;0.0;0.0;0.0;0.0;225.264179693;0.0;0.0
2019;CL;P-983;DE AMUSCO (N-611) A VILLOLDO;13.908;322.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;SA-104;DE GUIJUELO A LÍMITE DE PROVINCIA DE ÁVILA;23.305;290.0;1.0;5.0;0.0;4.0;0.0;40.5377864362;243.226718617;0.0;0.0
2019;CP;SA-105;DE PEÑARANDA DE BRACAMONTE (N-501) A LÍMITE DE PROVINCIA DE ÁVILA;23.005;1209.28037383;0.0;1.0;0.0;0.0;0.0;0.0;9.8482234397;0.0;0.0
2019;CL;SA-113;DE MACOTERA, CRUCE CON SA-105, A ANAYA DE ALBA, CRUCE CON CL-510;22.675;263.0;2.0;2.0;0.0;2.0;0.0;91.8827715956;183.765543191;0.0;0.0
2019;CL;SA-203;DE CRUCE CON SA-202 A LA PEÑA DE FRANCIA;12.0;281.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CP;SA-210;DE VECINOS, CRUCE CON SA-205, A TAMAMES;24.755;1543.0;6.0;8.0;0.0;7.0;0.0;43.0357651829;100.416785427;0.0;0.0
2019;CP;SA-212;DE GUIJUELO (N-630) A TAMAMES (SA-210);43.798;548.149732865;0.0;21.0;0.0;0.0;0.0;0.0;239.647522863;0.0;0.0
2019;CL;SA-214;DE GUIJUELO, CRUCE CON N-630, A CRISTÓBAL, CRUCE CON SA-220;22.215;574.0;0.0;10.0;0.0;0.0;0.0;0.0;214.856712112;0.0;0.0
2019;CP;SA-215;DE LA FUENTE DE SAN ESTEBAN (N-620) A CRUCE CON SA-220;32.42;435.182603331;1.0;9.0;0.0;1.0;0.0;19.4188094044;194.188094044;0.0;0.0
2019;CL;SA-306;DE CRUCE CON SA-311 A LÍMITE DE PROVINCIA DE ZAMORA;3.34;249.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;SA-314;DE VITIGUDINO A ALDEADÁVILA DE LA RIBERA;29.4;745.0;1.0;10.0;0.0;3.0;0.0;12.5084510222;137.592961244;0.0;0.0
2019;CP;SA-324;DE CIUDAD RODRIGO A LUMBRALES;46.255;511.994378986;0.0;35.0;0.0;0.0;0.0;0.0;404.903286247;0.0;0.0
2019;CL;SA-325;DE LA FUENTE DE SAN ESTEBAN, CRUCE CON SA-315, A CERRALBO, CRUCE CON CL-517;37.435;399.0;0.0;2.0;0.0;0.0;0.0;0.0;36.6848204711;0.0;0.0
2019;CP;SA-605;DE SALAMANCA A LÍMITE DE PROVINCIA DE ZAMORA;25.445;2189.43871095;5.0;12.0;0.0;6.0;0.0;24.5890580476;83.6027973618;0.0;0.0
2019;CL;SG-112;DE RIAZA (N-110) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;12.46;128.958266453;0.0;2.0;0.0;0.0;0.0;0.0;341.012188969;0.0;0.0
2019;CP;SG-135;DE LIMITE PROVINCIA DE SORIA A  CRUCE CON N-110;3.09;475.0;0.0;3.0;0.0;0.0;0.0;0.0;559.984880408;0.0;0.0
2019;CL;SG-211;DE TABANERA LA LUENGA (CL-601) A HONTALBILLA;32.3;938.705882353;2.0;20.0;0.0;3.0;0.0;18.0719522127;198.79147434;0.0;0.0
